emissivity,albedo,thermal conductivity ,density ,specific heat capacity,beaming factor,layer thickness,n_layers,solar distance,solar luminosity ,sunlight direction,timesteps per day,rotation period hours,max days,convergence target,ra degrees,dec degrees
0.106,0.106,0.106,451.06,1006,1.006,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
0.107,0.107,0.107,451.07,1007,1.007,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
0.108,0.108,0.108,451.08,1008,1.008,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
0.109,0.109,0.109,451.09,1009,1.009,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
0.11,0.11,0.11,451.1,1010,1.01,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
0.111,0.111,0.111,451.11,1011,1.011,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
0.112,0.112,0.112,451.12,1012,1.012,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
0.113,0.113,0.113,451.13,1013,1.013,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
0.114,0.114,0.114,451.14,1014,1.014,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
0.115,0.115,0.115,451.15,1015,1.015,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.116,0.116,0.116,451.16,1016,1.016,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.117,0.117,0.117,451.17,1017,1.017,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.118,0.118,0.118,451.18,1018,1.018,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.119,0.119,0.119,451.19,1019,1.019,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.12,0.12,0.12,451.2,1020,1.02,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.121,0.121,0.121,451.21,1021,1.021,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.122,0.122,0.122,451.22,1022,1.022,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.123,0.123,0.123,451.23,1023,1.023,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.124,0.124,0.124,451.24,1024,1.024,0.1,32,,3.12E+26,"[1,0,0]",100,12,10,0.1,0,90
0.125,0.125,0.125,451.25,1025,1.025,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.126,0.126,0.126,451.26,1026,1.026,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.127,0.127,0.127,451.27,1027,1.027,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.128,0.128,0.128,451.28,1028,1.028,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.129,0.129,0.129,451.29,1029,1.029,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.13,0.13,0.13,451.3,1030,1.03,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.131,0.131,0.131,451.31,1031,1.031,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.132,0.132,0.132,451.32,1032,1.032,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.133,0.133,0.133,451.33,1033,1.033,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.134,0.134,0.134,451.34,1034,1.034,0.1,32,,3.13E+26,"[1,0,0]",100,12,10,0.1,0,90
0.135,0.135,0.135,451.35,1035,1.035,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.136,0.136,0.136,451.36,1036,1.036,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.137,0.137,0.137,451.37,1037,1.037,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.138,0.138,0.138,451.38,1038,1.038,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.139,0.139,0.139,451.39,1039,1.039,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.14,0.14,0.14,451.4,1040,1.04,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.141,0.141,0.141,451.41,1041,1.041,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.142,0.142,0.142,451.42,1042,1.042,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.143,0.143,0.143,451.43,1043,1.043,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.144,0.144,0.144,451.44,1044,1.044,0.1,32,,3.14E+26,"[1,0,0]",100,12,10,0.1,0,90
0.145,0.145,0.145,451.45,1045,1.045,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.146,0.146,0.146,451.46,1046,1.046,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.147,0.147,0.147,451.47,1047,1.047,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.148,0.148,0.148,451.48,1048,1.048,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.149,0.149,0.149,451.49,1049,1.049,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.15,0.15,0.15,451.5,1050,1.05,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.151,0.151,0.151,451.51,1051,1.051,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.152,0.152,0.152,451.52,1052,1.052,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.153,0.153,0.153,451.53,1053,1.053,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.154,0.154,0.154,451.54,1054,1.054,0.1,32,,3.15E+26,"[1,0,0]",100,12,10,0.1,0,90
0.155,0.155,0.155,451.55,1055,1.055,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.156,0.156,0.156,451.56,1056,1.056,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.157,0.157,0.157,451.57,1057,1.057,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.158,0.158,0.158,451.58,1058,1.058,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.159,0.159,0.159,451.59,1059,1.059,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.16,0.16,0.16,451.6,1060,1.06,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.161,0.161,0.161,451.61,1061,1.061,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.162,0.162,0.162,451.62,1062,1.062,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.163,0.163,0.163,451.63,1063,1.063,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.164,0.164,0.164,451.64,1064,1.064,0.1,32,,3.16E+26,"[1,0,0]",100,12,10,0.1,0,90
0.165,0.165,0.165,451.65,1065,1.065,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.166,0.166,0.166,451.66,1066,1.066,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.167,0.167,0.167,451.67,1067,1.067,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.168,0.168,0.168,451.68,1068,1.068,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.169,0.169,0.169,451.69,1069,1.069,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.17,0.17,0.17,451.7,1070,1.07,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.171,0.171,0.171,451.71,1071,1.071,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.172,0.172,0.172,451.72,1072,1.072,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.173,0.173,0.173,451.73,1073,1.073,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.174,0.174,0.174,451.74,1074,1.074,0.1,32,,3.17E+26,"[1,0,0]",100,12,10,0.1,0,90
0.175,0.175,0.175,451.75,1075,1.075,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.176,0.176,0.176,451.76,1076,1.076,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.177,0.177,0.177,451.77,1077,1.077,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.178,0.178,0.178,451.78,1078,1.078,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.179,0.179,0.179,451.79,1079,1.079,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.18,0.18,0.18,451.8,1080,1.08,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.181,0.181,0.181,451.81,1081,1.081,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.182,0.182,0.182,451.82,1082,1.082,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.183,0.183,0.183,451.83,1083,1.083,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.184,0.184,0.184,451.84,1084,1.084,0.1,32,,3.18E+26,"[1,0,0]",100,12,10,0.1,0,90
0.185,0.185,0.185,451.85,1085,1.085,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.186,0.186,0.186,451.86,1086,1.086,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.187,0.187,0.187,451.87,1087,1.087,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.188,0.188,0.188,451.88,1088,1.088,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.189,0.189,0.189,451.89,1089,1.089,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.19,0.19,0.19,451.9,1090,1.09,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.191,0.191,0.191,451.91,1091,1.091,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.192,0.192,0.192,451.92,1092,1.092,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.193,0.193,0.193,451.93,1093,1.093,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.194,0.194,0.194,451.94,1094,1.094,0.1,32,,3.19E+26,"[1,0,0]",100,12,10,0.1,0,90
0.195,0.195,0.195,451.95,1095,1.095,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.196,0.196,0.196,451.96,1096,1.096,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.197,0.197,0.197,451.97,1097,1.097,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.198,0.198,0.198,451.98,1098,1.098,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.199,0.199,0.199,451.99,1099,1.099,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.2,0.2,0.2,452,1100,1.1,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.201,0.201,0.201,452.01,,,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.202,0.202,0.202,452.02,,,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.203,0.203,0.203,452.03,,,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.204,0.204,0.204,452.04,,,0.1,32,,3.20E+26,"[1,0,0]",100,12,10,0.1,0,90
0.205,0.205,0.205,452.05,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.206,0.206,0.206,452.06,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.207,0.207,0.207,452.07,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.208,0.208,0.208,452.08,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.209,0.209,0.209,452.09,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.21,0.21,0.21,452.1,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.211,0.211,0.211,452.11,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.212,0.212,0.212,452.12,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.213,0.213,0.213,452.13,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.214,0.214,0.214,452.14,,,0.1,32,,3.21E+26,"[1,0,0]",100,12,10,0.1,0,90
0.215,0.215,0.215,452.15,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.216,0.216,0.216,452.16,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.217,0.217,0.217,452.17,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.218,0.218,0.218,452.18,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.219,0.219,0.219,452.19,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.22,0.22,0.22,452.2,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.221,0.221,0.221,452.21,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.222,0.222,0.222,452.22,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.223,0.223,0.223,452.23,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.224,0.224,0.224,452.24,,,0.1,32,,3.22E+26,"[1,0,0]",100,12,10,0.1,0,90
0.225,0.225,0.225,452.25,,,0.1,32,,3.23E+26,"[1,0,0]",100,12,10,0.1,0,90
0.226,0.226,0.226,452.26,,,0.1,32,,3.23E+26,"[1,0,0]",100,12,10,0.1,0,90
0.227,0.227,0.227,452.27,,,0.1,32,,3.23E+26,"[1,0,0]",100,12,10,0.1,0,90
0.228,0.228,0.228,452.28,,,0.1,32,,3.23E+26,"[1,0,0]",100,12,10,0.1,0,90
